link_id,session_id,comment_event_ids,reply_event_ids,response_link_type,response_latency_ms,link_evidence,link_confidence,link_status,alternative_link_candidates,unanswered_reason,provisional_status
latest_live_01-L0001,latest_live_01,latest_live_01-C00001;latest_live_01-C00002,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,未明确提问,provisional_pending_5_6_review
latest_live_01-L0002,latest_live_01,latest_live_01-C00003;latest_live_01-C00004;latest_live_01-C00005,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,not applicable,provisional_pending_5_6_review
latest_live_01-L0003,latest_live_01,latest_live_01-C00006;latest_live_01-C00007;latest_live_01-C00008,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,,provisional_pending_5_6_review
latest_live_01-L0004,latest_live_01,latest_live_01-C00009;latest_live_01-C00010;latest_live_01-C00011,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,,provisional_pending_5_6_review
latest_live_01-L0005,latest_live_01,latest_live_01-C00012;latest_live_01-C00013;latest_live_01-C00014,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,not applicable,provisional_pending_5_6_review
latest_live_01-L0006,latest_live_01,latest_live_01-C00015;latest_live_01-C00016,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,not applicable,provisional_pending_5_6_review
latest_live_01-L0007,latest_live_01,latest_live_01-C00017;latest_live_01-C00018,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,not applicable,provisional_pending_5_6_review
latest_live_01-L0008,latest_live_01,latest_live_01-C00019;latest_live_01-C00020,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,no direct reply to specific comments observed in this segment,provisional_pending_5_6_review
latest_live_01-L0009,latest_live_01,latest_live_01-C00021;latest_live_01-C00022;latest_live_01-C00023;latest_live_01-C00024;latest_live_01-C00025,,uncertain_pending_review,,no visible replies or threaded comments,0.85,candidate_pending_review,topic_related_not_causal,comments appear as standalone messages without reply indicators,provisional_pending_5_6_review
latest_live_01-L0010,latest_live_01,latest_live_01-C00026,latest_live_01-E000002700000-1118,direct_response,,主播针对评论'泡什么茶'进行讲解,0.98,candidate_pending_review,topic_related_not_causal,,provisional_pending_5_6_review
latest_live_01-L0011,latest_live_01,latest_live_01-C00027;latest_live_01-C00028,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,,provisional_pending_5_6_review
latest_live_01-L0012,latest_live_01,latest_live_01-C00029;latest_live_01-C00030,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,not_applicable,provisional_pending_5_6_review
latest_live_01-L0013,latest_live_01,latest_live_01-C00031;latest_live_01-C00032;latest_live_01-C00033,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,not applicable,provisional_pending_5_6_review
latest_live_01-L0014,latest_live_01,latest_live_01-C00034;latest_live_01-C00035,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,,provisional_pending_5_6_review
latest_live_01-L0015,latest_live_01,latest_live_01-C00036;latest_live_01-C00037;latest_live_01-C00038,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,评论区未显示主播回复,provisional_pending_5_6_review
latest_live_01-L0016,latest_live_01,latest_live_01-C00039;latest_live_01-C00040,latest_live_01-E000004500000-1124,direct_response,,主播正在讲解内容，评论区有积极反馈。,0.96,candidate_pending_review,topic_related_not_causal,,provisional_pending_5_6_review
latest_live_01-L0017,latest_live_01,latest_live_01-C00041;latest_live_01-C00042,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,not applicable,provisional_pending_5_6_review
latest_live_01-L0018,latest_live_01,latest_live_01-C00043;latest_live_01-C00044,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,,provisional_pending_5_6_review
latest_live_01-L0019,latest_live_01,latest_live_01-C00045,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,,provisional_pending_5_6_review
latest_live_01-L0020,latest_live_01,latest_live_01-C00046;latest_live_01-C00047;latest_live_01-C00048;latest_live_01-C00049,,uncertain_pending_review,,评论区含提问类内容，主播未明确指向某条评论回应,0.45,candidate_pending_review,topic_related_not_causal,直播节奏快，可能选择性回应或后续统一解答,provisional_pending_5_6_review
latest_live_02-L0001,latest_live_02,latest_live_02-C00001;latest_live_02-C00002,latest_live_02-E000000000000-1000,direct_response,,主播针对评论中的问题进行解答或示范。,0.95,candidate_pending_review,topic_related_not_causal,,provisional_pending_5_6_review
latest_live_02-L0002,latest_live_02,latest_live_02-C00003;latest_live_02-C00004,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,no direct reply to specific comment observed,provisional_pending_5_6_review
latest_live_02-L0003,latest_live_02,latest_live_02-C00005;latest_live_02-C00006,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,,provisional_pending_5_6_review
latest_live_02-L0004,latest_live_02,latest_live_02-C00007;latest_live_02-C00008,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,,provisional_pending_5_6_review
latest_live_02-L0005,latest_live_02,latest_live_02-C00009;latest_live_02-C00010,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,,provisional_pending_5_6_review
latest_live_02-L0006,latest_live_02,latest_live_02-C00011;latest_live_02-C00012,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,,provisional_pending_5_6_review
latest_live_02-L0007,latest_live_02,latest_live_02-C00013;latest_live_02-C00014,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,,provisional_pending_5_6_review
latest_live_02-L0008,latest_live_02,latest_live_02-C00015;latest_live_02-C00016,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,,provisional_pending_5_6_review
latest_live_02-L0009,latest_live_02,latest_live_02-C00017;latest_live_02-C00018;latest_live_02-C00019,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,not applicable,provisional_pending_5_6_review
latest_live_02-L0010,latest_live_02,latest_live_02-C00020;latest_live_02-C00021,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,当前为单向讲解，无明显互动窗口,provisional_pending_5_6_review
latest_live_02-L0011,latest_live_02,latest_live_02-C00022;latest_live_02-C00023,latest_live_02-E000003000000-1010,direct_response,,Host addresses the question '请问怎么练习' with further explanation.,0.95,candidate_pending_review,topic_related_not_causal,,provisional_pending_5_6_review
latest_live_02-L0012,latest_live_02,latest_live_02-C00024;latest_live_02-C00025;latest_live_02-C00026;latest_live_02-C00027,,uncertain_pending_review,,no direct visual cue linking specific comment to host response,0.3,candidate_pending_review,topic_related_not_causal,host continues general pitch; no targeted reply observed,provisional_pending_5_6_review
latest_live_02-L0013,latest_live_02,latest_live_02-C00028;latest_live_02-C00029,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,,provisional_pending_5_6_review
latest_live_02-L0014,latest_live_02,latest_live_02-C00030;latest_live_02-C00031;latest_live_02-C00032;latest_live_02-C00033,latest_live_02-E000003900000-1013,direct_response_to_comment,,gesture timing aligns with comment about price (30 vs 480),0.82,candidate_pending_review,topic_related_not_causal,,provisional_pending_5_6_review
latest_live_02-L0015,latest_live_02,latest_live_02-C00034;latest_live_02-C00035;latest_live_02-C00036,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,no direct reply to specific comment observed,provisional_pending_5_6_review
latest_live_02-L0016,latest_live_02,latest_live_02-C00037;latest_live_02-C00038,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,not applicable,provisional_pending_5_6_review
latest_live_02-L0017,latest_live_02,latest_live_02-C00039;latest_live_02-C00040;latest_live_02-C00041,,uncertain_pending_review,,评论区存在提问，但主播未明确指向某条评论作答,0.4,candidate_pending_review,topic_related_not_causal,可能为通用讲解而非针对性回复,provisional_pending_5_6_review
latest_live_02-L0018,latest_live_02,latest_live_02-C00042;latest_live_02-C00043,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,,provisional_pending_5_6_review
latest_live_02-L0019,latest_live_02,latest_live_02-C00044;latest_live_02-C00045;latest_live_02-C00046;latest_live_02-C00047;latest_live_02-C00048,,uncertain_pending_review,,no visible reply chain or user interaction,0.75,candidate_pending_review,topic_related_not_causal,no clear indication of replies or threaded comments,provisional_pending_5_6_review
latest_live_03-L0001,latest_live_03,latest_live_03-C00001;latest_live_03-C00002,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,not applicable,provisional_pending_5_6_review
latest_live_03-L0002,latest_live_03,latest_live_03-C00003;latest_live_03-C00004;latest_live_03-C00005,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,not applicable,provisional_pending_5_6_review
latest_live_03-L0003,latest_live_03,latest_live_03-C00006;latest_live_03-C00007,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,not applicable,provisional_pending_5_6_review
latest_live_03-L0004,latest_live_03,latest_live_03-C00008;latest_live_03-C00009,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,not applicable in this context,provisional_pending_5_6_review
latest_live_03-L0005,latest_live_03,latest_live_03-C00010,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,,provisional_pending_5_6_review
latest_live_03-L0006,latest_live_03,latest_live_03-C00011;latest_live_03-C00012,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,no direct reply to specific comments observed in this segment,provisional_pending_5_6_review
latest_live_03-L0007,latest_live_03,latest_live_03-C00013;latest_live_03-C00014;latest_live_03-C00015,latest_live_03-E000001800000-0504,direct_response,,主播针对观众的具体问题（打车路线）进行了回复。,0.97,candidate_pending_review,topic_related_not_causal,无,provisional_pending_5_6_review
latest_live_03-L0008,latest_live_03,latest_live_03-C00016,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,未检测到明确的提问或互动,provisional_pending_5_6_review
latest_live_03-L0009,latest_live_03,latest_live_03-C00017;latest_live_03-C00018,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,,provisional_pending_5_6_review
latest_live_04-L0001,latest_live_04,latest_live_04-C00001;latest_live_04-C00002,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,,provisional_pending_5_6_review
latest_live_04-L0002,latest_live_04,latest_live_04-C00003;latest_live_04-C00004,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,,provisional_pending_5_6_review
latest_live_04-L0003,latest_live_04,latest_live_04-C00005;latest_live_04-C00006,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,not applicable,provisional_pending_5_6_review
latest_live_04-L0004,latest_live_04,latest_live_04-C00007;latest_live_04-C00008,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,,provisional_pending_5_6_review
latest_live_04-L0005,latest_live_04,latest_live_04-C00009;latest_live_04-C00010,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,not applicable in this context,provisional_pending_5_6_review
latest_live_04-L0006,latest_live_04,latest_live_04-C00011;latest_live_04-C00012,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,not applicable,provisional_pending_5_6_review
latest_live_05-L0001,latest_live_05,latest_live_05-C00001;latest_live_05-C00002;latest_live_05-C00003,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,not applicable,provisional_pending_5_6_review
latest_live_05-L0002,latest_live_05,latest_live_05-C00004,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,,provisional_pending_5_6_review
latest_live_05-L0003,latest_live_05,latest_live_05-C00005,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,当前帧未显示明确的回复对象,provisional_pending_5_6_review
latest_live_05-L0004,latest_live_05,latest_live_05-C00006,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,未明确提及回复评论,provisional_pending_5_6_review
latest_live_05-L0005,latest_live_05,latest_live_05-C00007;latest_live_05-C00008,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,not applicable,provisional_pending_5_6_review
latest_live_05-L0006,latest_live_05,latest_live_05-C00009,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,,provisional_pending_5_6_review
latest_live_05-L0007,latest_live_05,latest_live_05-C00010,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,窗口时间较短，未观察到明显回复行为,provisional_pending_5_6_review
latest_live_06-L0001,latest_live_06,latest_live_06-C00001;latest_live_06-C00002,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,当前为单向讲解，未直接回应评论,provisional_pending_5_6_review
latest_live_06-L0002,latest_live_06,latest_live_06-C00003;latest_live_06-C00004,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,,provisional_pending_5_6_review
latest_live_06-L0003,latest_live_06,latest_live_06-C00005;latest_live_06-C00006,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,评论区互动非实时回复窗口,provisional_pending_5_6_review
latest_live_06-L0004,latest_live_06,latest_live_06-C00007;latest_live_06-C00008;latest_live_06-C00009;latest_live_06-C00010,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,,provisional_pending_5_6_review
latest_live_06-L0005,latest_live_06,latest_live_06-C00011;latest_live_06-C00012;latest_live_06-C00013;latest_live_06-C00014,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,no_direct_response_to_comments_observed,provisional_pending_5_6_review
latest_live_06-L0006,latest_live_06,latest_live_06-C00015;latest_live_06-C00016,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,,provisional_pending_5_6_review
latest_live_06-L0007,latest_live_06,latest_live_06-C00017;latest_live_06-C00018,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,当前为单向讲解，未直接回应评论,provisional_pending_5_6_review
latest_live_06-L0008,latest_live_06,latest_live_06-C00019;latest_live_06-C00020,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,,provisional_pending_5_6_review
latest_live_06-L0009,latest_live_06,latest_live_06-C00021;latest_live_06-C00022,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,no direct question or comment requiring a reply,provisional_pending_5_6_review
latest_live_06-L0010,latest_live_06,latest_live_06-C00023;latest_live_06-C00024,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,not applicable,provisional_pending_5_6_review
latest_live_06-L0011,latest_live_06,latest_live_06-C00025;latest_live_06-C00026,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,not applicable in this context,provisional_pending_5_6_review
latest_live_06-L0012,latest_live_06,latest_live_06-C00027;latest_live_06-C00028,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,,provisional_pending_5_6_review
latest_live_07-L0001,latest_live_07,latest_live_07-C00001;latest_live_07-C00002,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,,provisional_pending_5_6_review
latest_live_07-L0002,latest_live_07,latest_live_07-C00003;latest_live_07-C00004,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,not applicable,provisional_pending_5_6_review
latest_live_07-L0003,latest_live_07,latest_live_07-C00005;latest_live_07-C00006,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,no direct reply observed in this segment,provisional_pending_5_6_review
latest_live_07-L0004,latest_live_07,latest_live_07-C00007;latest_live_07-C00008,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,not applicable,provisional_pending_5_6_review
latest_live_07-L0005,latest_live_07,latest_live_07-C00009;latest_live_07-C00010,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,当前为单向讲解，无明显互动窗口,provisional_pending_5_6_review
latest_live_07-L0006,latest_live_07,latest_live_07-C00011;latest_live_07-C00012,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,,provisional_pending_5_6_review
latest_live_07-L0007,latest_live_07,latest_live_07-C00013;latest_live_07-C00014;latest_live_07-C00015,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,,provisional_pending_5_6_review
latest_live_07-L0008,latest_live_07,latest_live_07-C00016;latest_live_07-C00017,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,comments are recent and may not have been addressed yet,provisional_pending_5_6_review
latest_live_07-L0009,latest_live_07,latest_live_07-C00018;latest_live_07-C00019;latest_live_07-C00020,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,no visible reply or interaction observed,provisional_pending_5_6_review
latest_live_07-L0010,latest_live_07,latest_live_07-C00021;latest_live_07-C00022,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,not applicable in this context,provisional_pending_5_6_review
latest_live_07-L0011,latest_live_07,latest_live_07-C00023;latest_live_07-C00024;latest_live_07-C00025,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,当前为单向讲解，无明显互动点,provisional_pending_5_6_review
latest_live_07-L0012,latest_live_07,latest_live_07-C00026;latest_live_07-C00027,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,,provisional_pending_5_6_review
latest_live_07-L0013,latest_live_07,latest_live_07-C00028;latest_live_07-C00029,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,,provisional_pending_5_6_review
latest_live_07-L0014,latest_live_07,latest_live_07-C00030,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,,provisional_pending_5_6_review
latest_live_07-L0015,latest_live_07,latest_live_07-C00031;latest_live_07-C00032,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,,provisional_pending_5_6_review
latest_live_07-L0016,latest_live_07,latest_live_07-C00033;latest_live_07-C00034,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,not_applicable,provisional_pending_5_6_review
latest_live_07-L0017,latest_live_07,latest_live_07-C00035;latest_live_07-C00036,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,not applicable,provisional_pending_5_6_review
latest_live_07-L0018,latest_live_07,latest_live_07-C00037;latest_live_07-C00038,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,not applicable in this context,provisional_pending_5_6_review
latest_live_07-L0019,latest_live_07,latest_live_07-C00039,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,,provisional_pending_5_6_review
latest_live_08-L0001,latest_live_08,latest_live_08-C00001,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,,provisional_pending_5_6_review
latest_live_08-L0002,latest_live_08,latest_live_08-C00002;latest_live_08-C00003;latest_live_08-C00004,latest_live_08-E000000300000-0777,direct_response,,host addresses a question about course timing.,0.88,candidate_pending_review,topic_related_not_causal,none,provisional_pending_5_6_review
latest_live_08-L0003,latest_live_08,latest_live_08-C00005;latest_live_08-C00006,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,,provisional_pending_5_6_review
latest_live_08-L0004,latest_live_08,latest_live_08-C00007;latest_live_08-C00008,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,,provisional_pending_5_6_review
latest_live_08-L0005,latest_live_08,latest_live_08-C00009;latest_live_08-C00010;latest_live_08-C00011,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,,provisional_pending_5_6_review
latest_live_08-L0006,latest_live_08,latest_live_08-C00012;latest_live_08-C00013;latest_live_08-C00014;latest_live_08-C00015,latest_live_08-E000001800000-0782,direct_response_to_comment,,主播在说‘腰疼的朋友注意’时，评论区刚出现‘腰疼能不能练这个？’,0.85,candidate_pending_review,topic_related_not_causal,,provisional_pending_5_6_review
latest_live_08-L0007,latest_live_08,latest_live_08-C00016;latest_live_08-C00017,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,not applicable,provisional_pending_5_6_review
latest_live_08-L0008,latest_live_08,latest_live_08-C00018;latest_live_08-C00019;latest_live_08-C00020,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,,provisional_pending_5_6_review
latest_live_08-L0009,latest_live_08,latest_live_08-C00021;latest_live_08-C00022,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,not applicable,provisional_pending_5_6_review
latest_live_08-L0010,latest_live_08,latest_live_08-C00023;latest_live_08-C00024;latest_live_08-C00025;latest_live_08-C00026;latest_live_08-C00027,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,not applicable,provisional_pending_5_6_review
latest_live_08-L0011,latest_live_08,latest_live_08-C00028;latest_live_08-C00029,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,,provisional_pending_5_6_review
latest_live_08-L0012,latest_live_08,latest_live_08-C00030;latest_live_08-C00031,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,当前主播行为为单向展示，未直接回应评论,provisional_pending_5_6_review
latest_live_08-L0013,latest_live_08,latest_live_08-C00032;latest_live_08-C00033;latest_live_08-C00034,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,,provisional_pending_5_6_review
latest_live_09-L0001,latest_live_09,latest_live_09-C00001;latest_live_09-C00002,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,,provisional_pending_5_6_review
latest_live_09-L0002,latest_live_09,latest_live_09-C00003,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,未明确提及观众问题,provisional_pending_5_6_review
latest_live_09-L0003,latest_live_09,latest_live_09-C00004;latest_live_09-C00005,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,,provisional_pending_5_6_review
latest_live_09-L0004,latest_live_09,latest_live_09-C00006;latest_live_09-C00007;latest_live_09-C00008,,uncertain_pending_review,,评论区未显示回复链结构,0.65,candidate_pending_review,topic_related_not_causal,缺乏上下文关联信息,provisional_pending_5_6_review
latest_live_09-L0005,latest_live_09,latest_live_09-C00009;latest_live_09-C00010;latest_live_09-C00011,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,not applicable,provisional_pending_5_6_review
latest_live_09-L0006,latest_live_09,latest_live_09-C00012;latest_live_09-C00013;latest_live_09-C00014,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,not applicable,provisional_pending_5_6_review
latest_live_09-L0007,latest_live_09,latest_live_09-C00015;latest_live_09-C00016;latest_live_09-C00017,,uncertain_pending_review,,no explicit reply markers; comments appear concurrent with speech,0.3,candidate_pending_review,topic_related_not_causal,host not addressing specific comments in this segment,provisional_pending_5_6_review
latest_live_09-L0008,latest_live_09,latest_live_09-C00018;latest_live_09-C00019;latest_live_09-C00020;latest_live_09-C00021;latest_live_09-C00022,,uncertain_pending_review,,no explicit reply indicator; comments appear concurrent but not directly addressed,0.3,candidate_pending_review,topic_related_not_causal,"host focused on scripted delivery, no direct comment acknowledgment",provisional_pending_5_6_review
latest_live_10-L0001,latest_live_10,latest_live_10-C00001,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,,provisional_pending_5_6_review
latest_live_10-L0002,latest_live_10,latest_live_10-C00002;latest_live_10-C00003,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,,provisional_pending_5_6_review
latest_live_10-L0003,latest_live_10,latest_live_10-C00004;latest_live_10-C00005;latest_live_10-C00006,,uncertain_pending_review,,无明确回复动作或文字反馈显示,0.75,candidate_pending_review,topic_related_not_causal,主播未直接回应评论内容,provisional_pending_5_6_review
latest_live_10-L0004,latest_live_10,latest_live_10-C00007;latest_live_10-C00008,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,,provisional_pending_5_6_review
latest_live_10-L0005,latest_live_10,latest_live_10-C00009;latest_live_10-C00010,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,not applicable,provisional_pending_5_6_review
latest_live_10-L0006,latest_live_10,latest_live_10-C00011;latest_live_10-C00012,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,,provisional_pending_5_6_review
latest_live_10-L0007,latest_live_10,latest_live_10-C00013;latest_live_10-C00014,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,no specific reply requested in visible comments,provisional_pending_5_6_review
latest_live_10-L0008,latest_live_10,latest_live_10-C00015;latest_live_10-C00016,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,,provisional_pending_5_6_review
latest_live_10-L0009,latest_live_10,latest_live_10-C00017;latest_live_10-C00018,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,窗口时间较短，未观察到明显回复行为,provisional_pending_5_6_review
latest_live_10-L0010,latest_live_10,latest_live_10-C00019;latest_live_10-C00020;latest_live_10-C00021,,uncertain_pending_review,,no explicit reply markers; comments appear concurrent but not directly addressed in frame,0.4,candidate_pending_review,topic_related_not_causal,host maintaining continuous instruction flow,provisional_pending_5_6_review
latest_live_10-L0011,latest_live_10,latest_live_10-C00022,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,当前为主播单向输出，无明显互动窗口,provisional_pending_5_6_review
latest_live_10-L0012,latest_live_10,latest_live_10-C00023;latest_live_10-C00024,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,,provisional_pending_5_6_review
latest_live_10-L0013,latest_live_10,latest_live_10-C00025,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,,provisional_pending_5_6_review
latest_live_10-L0014,latest_live_10,latest_live_10-C00026;latest_live_10-C00027,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,no direct reply to specific comment observed,provisional_pending_5_6_review
latest_live_10-L0015,latest_live_10,latest_live_10-C00028;latest_live_10-C00029;latest_live_10-C00030;latest_live_10-C00031,latest_live_10-E000004200000-1219,direct_response,,主播在评论弹出后立即调整语速并提及‘打马’‘吸腿跳绳’‘力量’等关键词，与评论内容高度一致,0.96,candidate_pending_review,topic_related_not_causal,,provisional_pending_5_6_review
latest_live_10-L0016,latest_live_10,latest_live_10-C00032;latest_live_10-C00033;latest_live_10-C00034,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,comments are positive and do not require direct replies,provisional_pending_5_6_review
latest_live_10-L0017,latest_live_10,latest_live_10-C00035;latest_live_10-C00036,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,not applicable,provisional_pending_5_6_review
latest_live_10-L0018,latest_live_10,latest_live_10-C00037,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,,provisional_pending_5_6_review
latest_live_10-L0019,latest_live_10,latest_live_10-C00038;latest_live_10-C00039,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,no direct question or request for clarification was observed,provisional_pending_5_6_review
latest_live_10-L0020,latest_live_10,latest_live_10-C00040;latest_live_10-C00041,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,no direct reply to specific comment observed,provisional_pending_5_6_review
latest_live_10-L0021,latest_live_10,latest_live_10-C00042,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,,provisional_pending_5_6_review
