clip_id,source_video,time_range,action_type,face_visibility,mouth_visibility,eye_visibility,hand_visibility,body_motion,head_motion,gesture_type,emotion_state,digital_human_use_case,quality_score,risk_note,qwen_vl_max_summary
R01_5_13_C01_opening,参考/完整直播录屏/今年直播素材/5月13日直播素材.MP4,00:01:00-00:01:06,开头阶段,medium_face_visible,待验证_by_frame_only,待验证_by_frame_only,模型辅助观察见 qwen_vl_max_summary,medium_motion,模型辅助观察见 qwen_vl_max_summary,模型辅助观察见 qwen_vl_max_summary,模型辅助观察见 qwen_vl_max_summary,baseline_avatar_state_reference,4.0,needs_human_review_before_training_or_vendor_acceptance,"```json { ""scene"": ""indoor studio setting with neutral curtain background and decorative elements"", ""face_visibility"": ""fully visible"", ""eye_gaze"": ""directly at camera"", ""blink_observation"": ""normal blinking pattern observed"", ""mouth_opening"": ""moderate opening during speech"", ""expression"": ""engaged, expressive, smiling slightly"", ""head_motion"": ""minimal hea"
R01_5_13_C02_middle,参考/完整直播录屏/今年直播素材/5月13日直播素材.MP4,00:55:10-00:55:16,中段讲解阶段,medium_face_visible,待验证_by_frame_only,待验证_by_frame_only,模型辅助观察见 qwen_vl_max_summary,low_motion,模型辅助观察见 qwen_vl_max_summary,模型辅助观察见 qwen_vl_max_summary,模型辅助观察见 qwen_vl_max_summary,general_live_avatar_reference,4.0,needs_human_review_before_training_or_vendor_acceptance,"```json { ""scene"": ""室内讲解场景，背景为灰色窗帘，右侧有装饰鼓和橙色果实"", ""face_visibility"": ""完全可见"", ""eye_gaze"": ""直视前方"", ""blink_observation"": ""正常眨眼频率，无明显异常"", ""mouth_opening"": ""轻微张开，处于说话状态"", ""expression"": ""平静专注，略带讲解时的自然表情"", ""head_motion"": ""轻微上下微动，保持稳定"", ""shoulder_neck_motion"": ""肩部放松，颈部无明显动作"", ""body_motion"": ""身体基本静止，坐姿端正"", ""hand_gesture"": ""双手交叠放在腹部，动作稳定，无大幅变化"", ""posture_or_position"": "
R01_5_13_C03_high_motion,参考/完整直播录屏/今年直播素材/5月13日直播素材.MP4,01:23:05-01:23:11,动作明显阶段,medium_face_visible,待验证_by_frame_only,待验证_by_frame_only,模型辅助观察见 qwen_vl_max_summary,high_motion,模型辅助观察见 qwen_vl_max_summary,模型辅助观察见 qwen_vl_max_summary,模型辅助观察见 qwen_vl_max_summary,action_ecology_reference,5.0,needs_human_review_before_training_or_vendor_acceptance,"```json { ""scene"": ""indoor studio setting with curtains and decorative elements"", ""face_visibility"": ""fully visible"", ""eye_gaze"": ""directly at camera"", ""blink_observation"": ""normal blinking frequency"", ""mouth_opening"": ""moderate, speaking actively"", ""expression"": ""engaged and expressive"", ""head_motion"": ""minimal, slight nodding"", ""shoulder_neck_motion"": ""sli"
R01_5_13_C04_high_audio,参考/完整直播录屏/今年直播素材/5月13日直播素材.MP4,00:56:30-00:56:36,互动/高语音情绪阶段,medium_face_visible,待验证_by_frame_only,待验证_by_frame_only,模型辅助观察见 qwen_vl_max_summary,medium_motion,模型辅助观察见 qwen_vl_max_summary,模型辅助观察见 qwen_vl_max_summary,模型辅助观察见 qwen_vl_max_summary,voice_tone_or_tts_reference,3.7,needs_human_review_before_training_or_vendor_acceptance,未调用或调用失败
R01_5_13_C05_closing,参考/完整直播录屏/今年直播素材/5月13日直播素材.MP4,01:48:51-01:48:57,收尾或促单阶段,medium_face_visible,待验证_by_frame_only,待验证_by_frame_only,模型辅助观察见 qwen_vl_max_summary,medium_motion,模型辅助观察见 qwen_vl_max_summary,模型辅助观察见 qwen_vl_max_summary,模型辅助观察见 qwen_vl_max_summary,closing_or_promotion_style_reference,3.7,needs_human_review_before_training_or_vendor_acceptance,未调用或调用失败
R02_C5824_C01_opening,参考/完整直播录屏/今年直播素材/C5824.MP4,00:01:00-00:01:06,开头阶段,medium_face_visible,待验证_by_frame_only,待验证_by_frame_only,模型辅助观察见 qwen_vl_max_summary,medium_motion,模型辅助观察见 qwen_vl_max_summary,模型辅助观察见 qwen_vl_max_summary,模型辅助观察见 qwen_vl_max_summary,baseline_avatar_state_reference,5.0,needs_human_review_before_training_or_vendor_acceptance,"```json { ""scene"": ""indoor studio setting with neutral curtains and decorative elements"", ""face_visibility"": ""fully visible"", ""eye_gaze"": ""directly at camera"", ""blink_observation"": ""normal blinking frequency"", ""mouth_opening"": ""moderate, speaking or smiling"", ""expression"": ""happy, engaging"", ""head_motion"": ""minimal, slight nodding"", ""shoulder_neck_motion"": """
R02_C5824_C02_middle,参考/完整直播录屏/今年直播素材/C5824.MP4,00:49:09-00:49:15,中段讲解阶段,medium_face_visible,待验证_by_frame_only,待验证_by_frame_only,模型辅助观察见 qwen_vl_max_summary,medium_motion,模型辅助观察见 qwen_vl_max_summary,模型辅助观察见 qwen_vl_max_summary,模型辅助观察见 qwen_vl_max_summary,general_live_avatar_reference,5.0,needs_human_review_before_training_or_vendor_acceptance,"```json { ""scene"": ""indoor living room or studio setting with neutral curtains and decorative vase"", ""face_visibility"": ""fully visible"", ""eye_gaze"": ""directly at camera"", ""blink_observation"": ""normal blinking frequency, no excessive blinks"", ""mouth_opening"": ""moderate opening during speech, consistent with talking"", ""expression"": ""engaged, expressive, smilin"
R02_C5824_C03_high_motion,参考/完整直播录屏/今年直播素材/C5824.MP4,01:02:08-01:02:14,动作明显阶段,medium_face_visible,待验证_by_frame_only,待验证_by_frame_only,模型辅助观察见 qwen_vl_max_summary,high_motion,模型辅助观察见 qwen_vl_max_summary,模型辅助观察见 qwen_vl_max_summary,模型辅助观察见 qwen_vl_max_summary,action_ecology_reference,4.0,needs_human_review_before_training_or_vendor_acceptance,"{ ""scene"": ""indoor studio setting with neutral curtains and decorative elements"", ""face_visibility"": ""fully visible"", ""eye_gaze"": ""directly at camera"", ""blink_observation"": ""normal blinking pattern observed"", ""mouth_opening"": ""moderate opening during speech"", ""expression"": ""engaged, expressive, slightly animated"", ""head_motion"": ""minimal head movement, sligh"
R02_C5824_C04_high_audio,参考/完整直播录屏/今年直播素材/C5824.MP4,01:37:38-01:37:44,互动/高语音情绪阶段,medium_face_visible,待验证_by_frame_only,待验证_by_frame_only,模型辅助观察见 qwen_vl_max_summary,low_motion,模型辅助观察见 qwen_vl_max_summary,模型辅助观察见 qwen_vl_max_summary,模型辅助观察见 qwen_vl_max_summary,voice_tone_or_tts_reference,3.7,needs_human_review_before_training_or_vendor_acceptance,未调用或调用失败
R02_C5824_C05_closing,参考/完整直播录屏/今年直播素材/C5824.MP4,01:36:48-01:36:54,收尾或促单阶段,medium_face_visible,待验证_by_frame_only,待验证_by_frame_only,模型辅助观察见 qwen_vl_max_summary,medium_motion,模型辅助观察见 qwen_vl_max_summary,模型辅助观察见 qwen_vl_max_summary,模型辅助观察见 qwen_vl_max_summary,closing_or_promotion_style_reference,3.7,needs_human_review_before_training_or_vendor_acceptance,未调用或调用失败
R03_C5825_C01_opening,参考/完整直播录屏/今年直播素材/C5825.MP4,00:01:00-00:01:06,开头阶段,medium_face_visible,待验证_by_frame_only,待验证_by_frame_only,模型辅助观察见 qwen_vl_max_summary,medium_motion,模型辅助观察见 qwen_vl_max_summary,模型辅助观察见 qwen_vl_max_summary,模型辅助观察见 qwen_vl_max_summary,baseline_avatar_state_reference,5.0,needs_human_review_before_training_or_vendor_acceptance,"{ ""scene"": ""indoor studio setting with neutral curtain background and decorative vase with orange fruits"", ""face_visibility"": ""fully visible"", ""eye_gaze"": ""directly at camera"", ""blink_observation"": ""normal blinking frequency, no unusual patterns"", ""mouth_opening"": ""moderate to wide opening during speech, consistent with talking"", ""expression"": ""smiling, enga"
R03_C5825_C02_middle,参考/完整直播录屏/今年直播素材/C5825.MP4,00:54:45-00:54:51,中段讲解阶段,limited_small_face,待验证_by_frame_only,待验证_by_frame_only,模型辅助观察见 qwen_vl_max_summary,medium_motion,模型辅助观察见 qwen_vl_max_summary,模型辅助观察见 qwen_vl_max_summary,模型辅助观察见 qwen_vl_max_summary,general_live_avatar_reference,4.0,face_detail_limited,"{ ""scene"": ""室内直播讲解场景，背景为浅色窗帘和装饰花瓶"", ""face_visibility"": ""正面侧脸可见，面部清晰"", ""eye_gaze"": ""目光看向画面左侧，专注讲解"", ""blink_observation"": ""有自然眨眼动作，频率适中"", ""mouth_opening"": ""张口说话，唇部活动明显"", ""expression"": ""认真讲解表情，略带微笑"", ""head_motion"": ""头部轻微左右转动，配合语言表达"", ""shoulder_neck_motion"": ""肩颈稳定，无大幅运动"", ""body_motion"": ""身体保持坐姿，轻微前倾调整姿态"", ""hand_gesture"": ""双手持粉色弹力带，做拉伸演示动作"", ""posture_or_position"""
R03_C5825_C03_high_motion,参考/完整直播录屏/今年直播素材/C5825.MP4,01:09:16-01:09:22,动作明显阶段,medium_face_visible,待验证_by_frame_only,待验证_by_frame_only,模型辅助观察见 qwen_vl_max_summary,high_motion,模型辅助观察见 qwen_vl_max_summary,模型辅助观察见 qwen_vl_max_summary,模型辅助观察见 qwen_vl_max_summary,action_ecology_reference,5.0,needs_human_review_before_training_or_vendor_acceptance,"```json { ""scene"": ""indoor studio setting with decorative elements"", ""face_visibility"": ""fully visible"", ""eye_gaze"": ""directly at camera"", ""blink_observation"": ""normal blinking frequency"", ""mouth_opening"": ""moderate, speaking or explaining"", ""expression"": ""engaged and expressive"", ""head_motion"": ""minimal, slight nodding"", ""shoulder_neck_motion"": ""slight move"
R03_C5825_C04_high_audio,参考/完整直播录屏/今年直播素材/C5825.MP4,00:03:17-00:03:23,互动/高语音情绪阶段,limited_small_face,待验证_by_frame_only,待验证_by_frame_only,模型辅助观察见 qwen_vl_max_summary,low_motion,模型辅助观察见 qwen_vl_max_summary,模型辅助观察见 qwen_vl_max_summary,模型辅助观察见 qwen_vl_max_summary,voice_tone_or_tts_reference,3.3,face_detail_limited,未调用或调用失败
R03_C5825_C05_closing,参考/完整直播录屏/今年直播素材/C5825.MP4,01:48:01-01:48:07,收尾或促单阶段,medium_face_visible,待验证_by_frame_only,待验证_by_frame_only,模型辅助观察见 qwen_vl_max_summary,medium_motion,模型辅助观察见 qwen_vl_max_summary,模型辅助观察见 qwen_vl_max_summary,模型辅助观察见 qwen_vl_max_summary,closing_or_promotion_style_reference,3.7,needs_human_review_before_training_or_vendor_acceptance,未调用或调用失败
R04_C5829_C01_opening,参考/完整直播录屏/今年直播素材/C5829.MP4,00:01:00-00:01:06,开头阶段,medium_face_visible,待验证_by_frame_only,待验证_by_frame_only,模型辅助观察见 qwen_vl_max_summary,medium_motion,模型辅助观察见 qwen_vl_max_summary,模型辅助观察见 qwen_vl_max_summary,模型辅助观察见 qwen_vl_max_summary,baseline_avatar_state_reference,4.0,needs_human_review_before_training_or_vendor_acceptance,"{ ""scene"": ""indoor studio setting with neutral curtain background and decorative elements"", ""face_visibility"": ""fully visible"", ""eye_gaze"": ""directly at camera"", ""blink_observation"": ""normal blinking frequency, no excessive or prolonged blinks"", ""mouth_opening"": ""moderate opening during speech, consistent with talking"", ""expression"": ""neutral to slightly eng"
R04_C5829_C02_middle,参考/完整直播录屏/今年直播素材/C5829.MP4,00:55:10-00:55:16,中段讲解阶段,medium_face_visible,待验证_by_frame_only,待验证_by_frame_only,模型辅助观察见 qwen_vl_max_summary,low_motion,模型辅助观察见 qwen_vl_max_summary,模型辅助观察见 qwen_vl_max_summary,模型辅助观察见 qwen_vl_max_summary,general_live_avatar_reference,4.0,needs_human_review_before_training_or_vendor_acceptance,"```json { ""scene"": ""室内讲解场景，背景为灰色窗帘，右侧有装饰鼓和橙色果实"", ""face_visibility"": ""完全可见"", ""eye_gaze"": ""直视前方"", ""blink_observation"": ""正常眨眼频率，无明显异常"", ""mouth_opening"": ""轻微张开，处于说话状态"", ""expression"": ""平静专注，略带讲解时的自然表情"", ""head_motion"": ""轻微上下微动，保持稳定"", ""shoulder_neck_motion"": ""肩部放松，颈部无明显动作"", ""body_motion"": ""身体基本静止，仅腹部随呼吸轻微起伏"", ""hand_gesture"": ""双手交叠置于腹部，保持稳定手势"", ""posture_or_position"""
R04_C5829_C03_high_motion,参考/完整直播录屏/今年直播素材/C5829.MP4,01:23:05-01:23:11,动作明显阶段,medium_face_visible,待验证_by_frame_only,待验证_by_frame_only,模型辅助观察见 qwen_vl_max_summary,high_motion,模型辅助观察见 qwen_vl_max_summary,模型辅助观察见 qwen_vl_max_summary,模型辅助观察见 qwen_vl_max_summary,action_ecology_reference,5.0,needs_human_review_before_training_or_vendor_acceptance,"```json { ""scene"": ""indoor studio setting with neutral curtains and decorative elements"", ""face_visibility"": ""fully visible"", ""eye_gaze"": ""directly at camera"", ""blink_observation"": ""normal blinking frequency"", ""mouth_opening"": ""moderate opening during speech"", ""expression"": ""engaged, expressive, smiling occasionally"", ""head_motion"": ""minimal head movement, s"
R04_C5829_C04_high_audio,参考/完整直播录屏/今年直播素材/C5829.MP4,00:56:30-00:56:36,互动/高语音情绪阶段,medium_face_visible,待验证_by_frame_only,待验证_by_frame_only,模型辅助观察见 qwen_vl_max_summary,medium_motion,模型辅助观察见 qwen_vl_max_summary,模型辅助观察见 qwen_vl_max_summary,模型辅助观察见 qwen_vl_max_summary,voice_tone_or_tts_reference,3.7,needs_human_review_before_training_or_vendor_acceptance,未调用或调用失败
R04_C5829_C05_closing,参考/完整直播录屏/今年直播素材/C5829.MP4,01:48:51-01:48:57,收尾或促单阶段,medium_face_visible,待验证_by_frame_only,待验证_by_frame_only,模型辅助观察见 qwen_vl_max_summary,medium_motion,模型辅助观察见 qwen_vl_max_summary,模型辅助观察见 qwen_vl_max_summary,模型辅助观察见 qwen_vl_max_summary,closing_or_promotion_style_reference,3.7,needs_human_review_before_training_or_vendor_acceptance,未调用或调用失败
R05_25_9_10_C01_opening,参考/完整直播录屏/直播效果一般/25年9.10视频号无违规.MP4,00:01:00-00:01:06,开头阶段,medium_face_visible,待验证_by_frame_only,待验证_by_frame_only,模型辅助观察见 qwen_vl_max_summary,medium_motion,模型辅助观察见 qwen_vl_max_summary,模型辅助观察见 qwen_vl_max_summary,模型辅助观察见 qwen_vl_max_summary,baseline_avatar_state_reference,4.0,needs_human_review_before_training_or_vendor_acceptance,"```json { ""scene"": ""indoor bedroom setting with bed, pillows, and stuffed toy"", ""face_visibility"": ""fully visible"", ""eye_gaze"": ""directly at camera"", ""blink_observation"": ""normal blinking frequency"", ""mouth_opening"": ""moderate opening during speech"", ""expression"": ""engaged and expressive"", ""head_motion"": ""slight head tilts and turns"", ""shoulder_neck_motion"":"
R05_25_9_10_C02_middle,参考/完整直播录屏/直播效果一般/25年9.10视频号无违规.MP4,00:49:17-00:49:23,中段讲解阶段,limited_small_face,待验证_by_frame_only,待验证_by_frame_only,模型辅助观察见 qwen_vl_max_summary,medium_motion,模型辅助观察见 qwen_vl_max_summary,模型辅助观察见 qwen_vl_max_summary,模型辅助观察见 qwen_vl_max_summary,general_live_avatar_reference,4.0,face_detail_limited,"```json { ""scene"": ""室内卧室环境，人物在床上进行瑜伽或拉伸动作"", ""face_visibility"": ""可见"", ""eye_gaze"": ""向上方或天花板方向"", ""blink_observation"": ""有轻微眨眼动作"", ""mouth_opening"": ""微张，呼吸自然"", ""expression"": ""放松、专注"", ""head_motion"": ""轻微左右摆动，保持稳定"", ""shoulder_neck_motion"": ""肩部和颈部基本静止，无明显运动"", ""body_motion"": ""腿部缓慢抬升与放下，核心肌群参与运动"", ""hand_gesture"": ""双手自然放在身体两侧，未做特定手势"", ""posture_or_position"": ""仰卧位，双腿弯曲抬起，脚"
R05_25_9_10_C03_high_motion,参考/完整直播录屏/直播效果一般/25年9.10视频号无违规.MP4,01:37:55-01:38:01,动作明显阶段,limited_small_face,待验证_by_frame_only,待验证_by_frame_only,模型辅助观察见 qwen_vl_max_summary,medium_motion,模型辅助观察见 qwen_vl_max_summary,模型辅助观察见 qwen_vl_max_summary,模型辅助观察见 qwen_vl_max_summary,action_ecology_reference,4.0,face_detail_limited,"```json { ""scene"": ""indoor bedroom setting with bed and personal items"", ""face_visibility"": ""fully visible"", ""eye_gaze"": ""looking slightly to the side, then forward"", ""blink_observation"": ""normal blinking frequency observed"", ""mouth_opening"": ""moderate opening during speech"", ""expression"": ""engaged, expressive, speaking actively"", ""head_motion"": ""slight head"
R05_25_9_10_C04_high_audio,参考/完整直播录屏/直播效果一般/25年9.10视频号无违规.MP4,01:26:02-01:26:08,互动/高语音情绪阶段,face_not_detected_or_side_view,limited_or_not_visible,limited_or_not_visible,模型辅助观察见 qwen_vl_max_summary,low_motion,模型辅助观察见 qwen_vl_max_summary,模型辅助观察见 qwen_vl_max_summary,模型辅助观察见 qwen_vl_max_summary,voice_tone_or_tts_reference,3.0,face_detail_limited,未调用或调用失败
R05_25_9_10_C05_closing,参考/完整直播录屏/直播效果一般/25年9.10视频号无违规.MP4,01:37:05-01:37:11,收尾或促单阶段,medium_face_visible,待验证_by_frame_only,待验证_by_frame_only,模型辅助观察见 qwen_vl_max_summary,medium_motion,模型辅助观察见 qwen_vl_max_summary,模型辅助观察见 qwen_vl_max_summary,模型辅助观察见 qwen_vl_max_summary,closing_or_promotion_style_reference,3.7,needs_human_review_before_training_or_vendor_acceptance,未调用或调用失败
R06_C5834_C01_opening,参考/完整直播录屏/直播效果一般/C5834（上）.MP4,00:01:00-00:01:06,开头阶段,medium_face_visible,待验证_by_frame_only,待验证_by_frame_only,模型辅助观察见 qwen_vl_max_summary,medium_motion,模型辅助观察见 qwen_vl_max_summary,模型辅助观察见 qwen_vl_max_summary,模型辅助观察见 qwen_vl_max_summary,baseline_avatar_state_reference,5.0,needs_human_review_before_training_or_vendor_acceptance,"```json { ""scene"": ""indoor yoga studio setting with decorative elements"", ""face_visibility"": ""fully visible"", ""eye_gaze"": ""directly at camera"", ""blink_observation"": ""normal blinking frequency"", ""mouth_opening"": ""moderate, speaking or explaining"", ""expression"": ""engaged and expressive"", ""head_motion"": ""slight head tilts and nods"", ""shoulder_neck_motion"": ""min"
